row,raw_intact,raw_moderate,raw_severe,va_intact,va_moderate,va_severe
280512,0.0786401910,0.1245872276,0.7967725814,0.0146705078,0.1133127656,0.8720167266
280665,0.0141264459,0.0157835388,0.9700900154,0.0113163443,0.0359698085,0.9527138472
281043,0.4034118890,0.3924327732,0.2041553377,0.5231848598,0.2778350971,0.1989800430
281052,0.2828298211,0.4942175448,0.2229526341,0.2093537745,0.5560256161,0.2346206094
281114,0.0871494846,0.1674167191,0.7454337963,0.0150541097,0.1294125216,0.8555333687
281169,0.1347679178,0.2078067480,0.6574253342,0.0175267810,0.1671313286,0.8153418905
281216,0.2030256956,0.5495908774,0.2473834269,0.0377832126,0.6915786074,0.2706381801
281382,0.1262187324,0.2410583722,0.6327228954,0.0174434852,0.1710895259,0.8114669889
281384,0.0463195628,0.0956998315,0.8579806057,0.0123681725,0.1123058575,0.8753259699
281717,0.0327384254,0.0572324443,0.9100291302,0.0119327868,0.0413994642,0.9466677490
281849,0.0449189237,0.0619075175,0.8931735588,0.0127085605,0.0435850720,0.9437063675
281860,0.1708773127,0.2523044423,0.5768182450,0.0174434852,0.1710895259,0.8114669889
281861,0.3342854977,0.2453650534,0.4203494489,0.3150255002,0.1694782268,0.5154962730
281930,0.1652532642,0.3613576239,0.4733891119,0.0158653496,0.3387033815,0.6454312689
282169,0.0441342379,0.0635865345,0.8922792277,0.0126569238,0.0435873516,0.9437557246
282291,0.1480209060,0.3011391416,0.5508399524,0.0165319777,0.2144041548,0.7690638675
282438,0.2616437972,0.3279840946,0.4103721082,0.2117647059,0.2588235294,0.5294117647
282668,0.2223814130,0.4907063842,0.2869122028,0.0869296822,0.5769361559,0.3361341618
282772,0.0238446774,0.0255203893,0.9506349333,0.0114557795,0.0380418337,0.9505023869
282952,0.0203899970,0.0288039565,0.9508060465,0.0113960417,0.0394764844,0.9491274739
283402,0.0982648298,0.2518671491,0.6498680212,0.0174434852,0.1710895259,0.8114669889
283506,0.0172854921,0.0255549994,0.9571595085,0.0113524577,0.0379843239,0.9506632184
283545,0.1553519540,0.3060331688,0.5386148771,0.0161017737,0.2348473515,0.7490508747
283996,0.3139902149,0.3409780962,0.3450316890,0.3447212541,0.2757770033,0.3795017426
284268,0.0166368089,0.0191527042,0.9642104869,0.0113524577,0.0379843239,0.9506632184
284639,0.0384868378,0.0601880690,0.9013250932,0.0124545062,0.0435962875,0.9439492063
284657,0.0255621378,0.0320649861,0.9423728761,0.0114580993,0.0395416760,0.9490002247
284690,0.0414446415,0.0609020567,0.8976533018,0.0126057051,0.0435896127,0.9438046822
284761,0.1843304336,0.4678537250,0.3478158414,0.0238657113,0.5870893844,0.3890449043
284771,0.0308216416,0.0505200508,0.9186583076,0.0118867284,0.0414013941,0.9467118776
284808,0.1002231188,0.2161055703,0.6836713109,0.0168796778,0.1620707763,0.8210495459
285093,0.0676758746,0.0893875374,0.8429365880,0.0138564575,0.1062662004,0.8798773422
285119,0.1296637376,0.2008527696,0.6694834928,0.0172069742,0.1640817248,0.8187113010
285167,0.1347390264,0.2369673401,0.6282936335,0.0174434852,0.1710895259,0.8114669889
285214,0.3733392954,0.3306738436,0.2959868610,0.3864093457,0.2631263640,0.3504642903
285224,0.2393328065,0.5537914551,0.2068757384,0.1738918846,0.5937525799,0.2323555355
285307,0.1502801947,0.5088153557,0.3409044495,0.0175450142,0.6416192833,0.3408357025
285355,0.0578861868,0.0916880962,0.8504257170,0.0129853347,0.1135065603,0.8735081051
285473,0.0470394911,0.0897994058,0.8631611031,0.0124853651,0.1119587479,0.8755558870
285525,0.0696136749,0.1087651807,0.8216211445,0.0138704883,0.1134047677,0.8727247440
285589,0.1309546401,0.2736441832,0.5954011767,0.0174434852,0.1710895259,0.8114669889
285696,0.2328325905,0.6561767908,0.1109906187,0.1704081138,0.7873948900,0.0421969962
285763,0.0648182119,0.1092433722,0.8259384159,0.0133254842,0.1134674431,0.8732070727
285773,0.1060029598,0.2542044596,0.6397925806,0.0174434852,0.1710895259,0.8114669889
285814,0.4085678099,0.4143057106,0.1771264795,0.5534215492,0.3640931245,0.0824853263
285844,0.6101572605,0.2231715951,0.1666711445,0.7671209480,0.1523095222,0.0805695298
286078,0.1374513764,0.2583273572,0.6042212664,0.0174434852,0.1710895259,0.8114669889
286193,0.3179757297,0.4051648676,0.2768594027,0.3020682781,0.4422626464,0.2556690755
286354,0.0315153517,0.0649010823,0.9035835660,0.0120219163,0.0436153847,0.9443626990
