"id","y","fold","va_intact","va_moderate","va_severe"
467,2,3,0.140396457989357,0.539877154488663,0.31972638752198
473,0,1,0.22164534961451,0.610343598199563,0.168011052185926
474,1,2,0.124626635244111,0.516848887054427,0.358524477701462
486,0,2,0.534183193077205,0.398628866001933,0.0671879409208623
487,2,4,0.0221684691801651,0.449703231940493,0.528128298879342
492,2,3,0.0340258784481379,0.490417630941715,0.475556490610148
494,1,0,0.0624899946652755,0.853958099512023,0.0835519058227013
500,1,4,0.0201646764303558,0.710096246102711,0.269739077466934
515,2,1,0.0213698874467239,0.178182723499444,0.800447389053832
527,2,0,0.0133064688053661,0.185064967464105,0.801628563730529
535,2,3,0.0139240407957392,0.110661911589382,0.875414047614879
543,2,3,0.0160885135496285,0.220642471537763,0.763269014912609
549,2,4,0.0209959793437614,0.17367547962024,0.805328541035998
550,2,2,0.0158520736840105,0.0696997052748997,0.91444822104109
552,2,1,0.0136570561456753,0.039453717754173,0.946889226100152
554,2,4,0.0193757333776893,0.269740601924694,0.710883664697617
557,2,1,0.0176382280900983,0.115202339989434,0.867159431920468
559,2,3,0.0112352720927539,0.104568185366296,0.88419654254095
566,2,1,0.0157193844794378,0.115427364293456,0.868853251227106
567,2,1,0.0157304448784277,0.0581111157213906,0.926158439400182
574,2,3,0.014433663394468,0.405946782969414,0.579619553636118
580,2,2,0.0198849261268627,0.111960779714292,0.868154294158845
582,2,4,0.0184949767982509,0.158808823122411,0.822696200079338
583,2,4,0.0171708912510221,0.137367130008177,0.845461978740801
584,2,0,0.00983215113420886,0.0452278952173608,0.94493995364843
585,2,4,0.0206634114968055,0.158457967493194,0.820878621010001
586,2,0,0.0347711185692041,0.184469934303988,0.780758947126808
588,2,2,0.0190331804427555,0.123019337008054,0.857947482549191
597,2,3,0.0155262682794728,0.168080881025456,0.816392850695071
598,2,0,0.0125185750552191,0.299384155384179,0.688097269560602
600,2,0,0.0136879402708061,0.23393934281014,0.752372716919053
604,2,0,0.0145026440480618,0.188343548361014,0.797153807590925
605,2,4,0.0207138671963305,0.158844888481357,0.820441244322312
606,2,3,0.0202846548528265,0.12075118981785,0.858964155329324
609,2,1,0.0159210349284267,0.159658829141406,0.824420135930168
614,2,0,0.0139952211439996,0.098307894865168,0.887696883990832
619,2,1,0.0200906682948608,0.114914740391861,0.864994591313278
624,2,0,0.0148047570521506,0.152370127325054,0.832825115622795
626,2,1,0.292395774534312,0.242157890492702,0.465446334972986
628,2,4,0.0159151193633952,0.0742705570291777,0.909814323607427
629,2,2,0.0140378662443309,0.0513521944664411,0.934609939289228
631,2,0,0.0106723900890568,0.0876992055144235,0.90162840439652
639,2,2,0.0188967380378852,0.222285313235123,0.758817948726992
642,1,2,0.015760793074589,0.0934573824635352,0.890781824461876
645,2,2,0.0140702559020017,0.0514706797098865,0.934459064388112
647,2,1,0.01557323197476,0.0581203975458566,0.926306370479383
649,2,0,0.0116765949367518,0.0985390694662467,0.889784335597002
650,2,4,0.0216406274577658,0.184378145940164,0.79398122660207
651,2,0,0.0140920941079136,0.128192598013924,0.857715307878163
652,2,4,0.0200430902253834,0.244588335406632,0.735368574367985
653,2,1,0.0185148486821618,0.410610650284517,0.570874501033321
655,2,4,0.019423452528547,0.312979320176303,0.667597227295149
661,2,2,0.0195851467728493,0.167561811278822,0.812853041948329
664,2,3,0.0118230481655,0.104506024292388,0.883670927542112
667,2,4,0.0216406274577658,0.184378145940164,0.79398122660207
669,2,4,0.0184008288104405,0.182168205223361,0.799430965966198
671,2,1,0.0200906682948608,0.114914740391861,0.864994591313278
672,2,0,0.0267577277345792,0.186001415291818,0.787240856973603
673,1,4,0.0194891943926497,0.265464326499401,0.715046479107949
675,2,2,0.313725490196078,0.163398692810457,0.522875816993464
